title,category,rating,quote
肖申克的救赎 / The Shawshank Redemption / 月黑高飞(港)  /  刺激1995(台),1994 / 美国 / 犯罪 剧情,9.6,希望让人自由。
霸王别姬 / 再见，我的妾  /  Farewell My Concubine,1993 / 中国大陆 香港 / 剧情 爱情 同性,9.6,风华绝代。
这个杀手不太冷 / Léon / 杀手莱昂  /  终极追杀令(台),1994 / 法国 / 剧情 动作 犯罪,9.4,怪蜀黍和小萝莉不得不说的故事。
阿甘正传 / Forrest Gump / 福雷斯特·冈普,1994 / 美国 / 剧情 爱情,9.4,一部美国近现代史。
美丽人生 / La vita è bella / 一个快乐的传说(港)  /  Life Is Beautiful,1997 / 意大利 / 剧情 喜剧 爱情 战争,9.5,最美的谎言。
泰坦尼克号 / Titanic / 铁达尼号(港 / 台),1997 / 美国 / 剧情 爱情 灾难,9.3,失去的才是永恒的。
千与千寻 / 千と千尋の神隠し / 神隐少女(台)  /  千与千寻的神隐,2001 / 日本 / 剧情 动画 奇幻,9.3,最好的宫崎骏，最好的久石让。
辛德勒的名单 / Schindler's List / 舒特拉的名单(港)  /  辛德勒名单,1993 / 美国 / 剧情 历史 战争,9.5,拯救一个人，就是拯救整个世界。
盗梦空间 / Inception / 潜行凶间(港)  /  全面启动(台),2010 / 美国 英国 / 剧情 科幻 悬疑 冒险,9.3,诺兰给了我们一场无法盗取的梦。
忠犬八公的故事 / Hachi: A Dog's Tale / 忠犬小八(台)  /  秋田犬八千(港),2009 / 美国 英国 / 剧情,9.3,永远都不能忘记你所爱的人。
机器人总动员 / WALL·E / 瓦力(台)  /  太空奇兵·威E(港),2008 / 美国 / 爱情 科幻 动画 冒险,9.3,小瓦力，大人生。
三傻大闹宝莱坞 / 3 Idiots / 三个傻瓜(台)  /  作死不离3兄弟(港),2009 / 印度 / 剧情 喜剧 爱情 歌舞,9.2,英俊版憨豆，高情商版谢耳朵。
海上钢琴师 / La leggenda del pianista sull'oceano / 声光伴我飞(港)  /  一九零零的传奇,1998 / 意大利 / 剧情 音乐,9.2,每个人都要走一条自己坚定了的路，就算是粉身碎骨。
放牛班的春天 / Les choristes / 歌声伴我心(港)  /  唱诗班男孩,2004 / 法国 瑞士 德国 / 剧情 音乐,9.3,天籁一般的童声，是最接近上帝的存在。
楚门的世界 / The Truman Show / 真人Show(港)  /  真人戏,1998 / 美国 / 剧情 科幻,9.2,如果再也不能见到你，祝你早安，午安，晚安。
大话西游之大圣娶亲 / 西遊記大結局之仙履奇緣 / 西游记完结篇仙履奇缘  /  齐天大圣西游记,1995 / 香港 中国大陆 / 喜剧 爱情 奇幻 古装,9.2,一生所爱。
星际穿越 / Interstellar / 星际启示录(港)  /  星际效应(台),2014 / 美国 英国 加拿大 冰岛 / 剧情 科幻 冒险,9.2,爱是一种力量，让我们超越时空感知它的存在。
龙猫 / となりのトトロ / 邻居托托罗  /  邻家的豆豆龙,1988 / 日本 / 动画 奇幻 冒险,9.2,人人心中都有个龙猫，童年就永远不会消失。
教父 / The Godfather / Mario Puzo's The Godfather,1972 / 美国 / 剧情 犯罪,9.3,千万不要记恨你的对手，这样会让你失去理智。
熔炉 / 도가니 / 无声呐喊(港)  /  漩涡,2011 / 韩国 / 剧情,9.3,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
无间道 / 無間道 / Infernal Affairs  /  Mou gaan dou,2002 / 香港 / 剧情 犯罪 悬疑,9.2,香港电影史上永不过时的杰作。
疯狂动物城 / Zootopia / 优兽大都会(港)  /  动物方城市(台),2016 / 美国 / 喜剧 动画 冒险,9.2,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
当幸福来敲门 / The Pursuit of Happyness / 寻找快乐的故事(港)  /  追求快乐,2006 / 美国 / 剧情 传记 家庭,9.0,平民励志片。
怦然心动 / Flipped / 萌动青春  /  青春萌动,2010 / 美国 / 剧情 喜剧 爱情,9.0,真正的幸福是来自内心深处。
触不可及 / Intouchables / 闪亮人生(港)  /  逆转人生(台),2011 / 法国 / 剧情 喜剧,9.2,满满温情的高雅喜剧。
蝙蝠侠：黑暗骑士 / The Dark Knight / 蝙蝠侠前传2：黑暗骑士  /  黑暗骑士(台),2008 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚,9.1,无尽的黑暗。
乱世佳人 / Gone with the Wind / 飘,1939 / 美国 / 剧情 历史 爱情 战争,9.2,Tomorrow is another day.
活着 / 人生  /  Lifetimes,1994 / 中国大陆 香港 / 剧情 历史 家庭,9.2,张艺谋最好的电影。
控方证人 / Witness for the Prosecution / 雄才伟略  /  情妇,1957 / 美国 / 剧情 犯罪 悬疑,9.6,比利·怀德满分作品。
少年派的奇幻漂流 / Life of Pi / 少年Pi的奇幻漂流  /  漂流少年Pi,2012 / 美国 台湾 英国 加拿大 / 剧情 奇幻 冒险,9.0,瑰丽壮观、无人能及的冒险之旅。
